,Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),Class
279,22.5,7.35,8.2,1.2,21.75,0.75,1.8,43.5,343.0,2
280,20.15,7.6,7.75,1.45,0.0,0.8,1.8,0.0,281.0,2
281,20.05,7.15,7.95,1.5,12.5,0.7,3.9,25.0,1545.0,4
282,18.6,7.5,7.75,1.6,19.5,0.7,5.4,39.0,302.5,2
283,18.7,7.5,7.7,1.6,22.5,0.9,7.9,45.0,325.0,2
284,25.5,7.5,7.75,1.6,22.0,0.6,1.8,44.0,404.0,3
285,24.5,8.5,8.2,1.75,540.75,2.25,32.4,1081.5,255.0,2
286,25.6,5.7,7.85,1.6,19.5,1.1,9.9,39.0,399.0,3
287,18.95,7.4,7.75,1.75,22.75,0.95,6.4,45.5,353.0,2
288,19.05,7.0,7.65,2.0,20.5,0.9,6.4,41.0,2252.0,4
289,23.5,7.1,8.1,1.0,20.5,0.8,1.8,41.0,337.5,2
290,28.0,6.95,7.85,0.37,28.0,0.115,25.0,56.0,281.5,2
291,28.0,6.9,7.95,0.6,27.75,0.15,23.0,55.5,274.0,2
292,25.0,7.4,7.7,0.55,60.75,0.5,15.0,121.5,286.0,2
293,28.0,6.75,7.9,0.7,35.0,0.0,27.0,70.0,1572.5,4
294,28.5,6.5,7.95,0.9,140.0,0.0,79.5,280.0,9272.0,4
